Interface ID,Surface ID,Total atoms,Lower hkl,Upper hkl,Lower area,Upper area,U misfit (%),V misfit (%),Angle misfit (°),Area misfit (%),T_0_1,T_0_2,T_0_3,T_0_4,T_1_1,T_1_2,T_1_3,T_1_4
14,4,1260,011,110,351.273206,347.409048,4.469844,4.004440,4.941549,1.100043,-2.000000,1.000000,3.000000,2.000000,1.000000,1.000000,-4.000000,1.000000
15,1,1260,011,111,351.273206,355.838275,3.513200,2.057252,1.645128,1.299578,1.000000,0.000000,0.000000,-7.000000,1.000000,0.000000,-2.000000,-5.000000
15,2,1260,011,111,351.273206,355.838275,3.513200,2.057252,1.645128,1.299578,1.000000,0.000000,0.000000,-7.000000,1.000000,0.000000,-2.000000,-5.000000
15,3,1260,011,111,351.273206,355.838275,3.513200,2.057252,1.645128,1.299578,1.000000,0.000000,0.000000,-7.000000,1.000000,0.000000,-2.000000,-5.000000
15,4,1260,011,111,351.273206,355.838275,3.513200,2.057252,1.645128,1.299578,1.000000,0.000000,0.000000,-7.000000,1.000000,0.000000,-2.000000,-5.000000
16,1,1092,100,001,290.256916,292.571164,1.991476,1.034078,2.979841,0.797310,1.000000,0.000000,0.000000,7.000000,1.000000,1.000000,-9.000000,10.000000
16,2,1092,100,001,290.256916,292.571164,1.991476,1.034078,2.979841,0.797310,1.000000,0.000000,0.000000,7.000000,1.000000,1.000000,-9.000000,10.000000
16,3,1092,100,001,290.256916,292.571164,1.991476,1.034078,2.979841,0.797310,1.000000,0.000000,0.000000,7.000000,1.000000,1.000000,-9.000000,10.000000
16,4,1092,100,001,290.256916,292.571164,1.991476,1.034078,2.979841,0.797310,1.000000,0.000000,0.000000,7.000000,1.000000,1.000000,-9.000000,10.000000
17,1,2864,100,010,787.840200,786.096939,2.077984,1.372568,0.619089,0.221271,5.000000,1.000000,1.000000,4.000000,2.000000,3.000000,0.000000,8.000000
